name,app_name,rating,comment,comment_timestamp
Julia,com.shop.shoplist,3.0,Crashes frequently.,2024-02-22 17:10:18.400982
Fiona,com.game.gamehub,4.0,Fantastic features.,2024-10-12 17:10:18.401010
Julia,com.news.newsflash,3.3,Love the interface!,2024-09-20 17:10:18.401021
Diana,com.study.studysmart,,"Great app, very useful!",2023-11-18 17:10:18.401031
Diana,com.mind.mindcalm,,Needs improvement.,2024-01-25 17:10:18.401058
Julia,com.photo.photomaster,,Crashes frequently.,2024-02-29 17:10:18.401066
Alice,com.fit.fitbuddy,,Would recommend to others.,2024-01-09 17:10:18.401072
George,com.mind.mindcalm,1.8,Would recommend to others.,2024-05-28 17:10:18.401082
Bob,com.game.gamehub,,Took a while to understand.,2023-12-21 17:10:18.401092
Charlie,com.news.newsflash,4.6,Took a while to understand.,2024-08-23 17:10:18.401099
Ethan,com.mind.mindcalm,3.0,Love the interface!,2024-02-16 17:10:18.401108
Julia,com.fit.fitbuddy,4.6,Love the interface!,2024-09-25 17:10:18.401117
George,com.fit.fitbuddy,1.3,Crashes frequently.,2024-06-20 17:10:18.401127
Fiona,com.food.foodscanner,1.3,Took a while to understand.,2023-11-20 17:10:18.401135
Hannah,com.weather.weatherpro,1.0,Not worth the price.,2024-10-17 17:10:18.401140
Alice,com.fit.fitbuddy,3.3,"Great app, very useful!",2024-07-11 17:10:18.401147
Diana,com.mind.mindcalm,3.5,Needs improvement.,2024-06-03 17:10:18.401152
Bob,com.game.gamehub,,,
Hannah,com.sleep.sleeptrack,,Needs improvement.,2024-07-25 17:10:18.401158
George,com.news.newsflash,4.0,Not worth the price.,2024-07-04 17:10:18.401164
Alice,com.mind.mindcalm,,Would recommend to others.,2024-03-03 17:10:18.401168
Charlie,com.sleep.sleeptrack,4.7,Would recommend to others.,2024-05-02 17:10:18.401173
Julia,com.sleep.sleeptrack,1.2,Needs improvement.,2024-09-29 17:10:18.401180
Charlie,com.shop.shoplist,,Love the interface!,2024-03-19 17:10:18.401187
George,com.news.newsflash,4.3,,
Ethan,com.food.foodscanner,,Not worth the price.,2023-12-14 17:10:18.401199
Bob,com.weather.weatherpro,3.2,Took a while to understand.,2024-03-02 17:10:18.401208
Julia,com.mind.mindcalm,,Fantastic features.,2024-08-29 17:10:18.401216
Julia,com.news.newsflash,,,
Diana,com.study.studysmart,4.1,Would recommend to others.,2024-01-06 17:10:18.401230
Julia,com.food.foodscanner,,Took a while to understand.,2024-05-08 17:10:18.401238
